node_id,pagerank
1167492,0.004216831764
1168698,0.001746025507
873048,0.001149038168
1000680,0.000516188463
1739578,0.000486402964
47407,0.000470349529
1687228,0.000465905135
6301,0.000462498123
1576342,0.000428182973
870533,0.00042787462
871656,0.000418154808
871035,0.000408180058
873021,0.000408029375
413461,0.000396784267
977404,0.000346857705
906449,0.000339722014
507400,0.000325641624
413462,0.000304375935
871286,0.000303054384
460144,0.00029930212
1200875,0.000297248563
1323428,0.00029632214
906448,0.00029113519
460025,0.0002791509
1400228,0.000270252838
91741,0.000256323709
68036,0.000252417701
1435249,0.000244403159
1182429,0.000232176463
1157910,0.000213019554
1435248,0.000208134494
1742020,0.000202269023
1000703,0.000196708359
1786957,0.000196016149
269595,0.000194622318
1400148,0.000186311512
1711935,0.000182744861
839773,0.0001794573
1099033,0.000177204452
1660976,0.000172364842
1335332,0.000171201666
412644,0.000170917208
65628,0.000170330257
800469,0.000169496661
946488,0.000166924356
272466,0.000166362751
1059835,0.00015971462
848911,0.000155866519
1584368,0.000154290202
1000686,0.0001533225
858956,0.000149115073
69245,0.000148304683
69244,0.000145747285
1093530,0.000145153705
1102272,0.000145038767
499346,0.00014340304
428694,0.000141934
859796,0.00013945465
82743,0.00013791876
668792,0.000137110879
1000672,0.000136879878
509990,0.000135221361
1008169,0.000131413347
216437,0.000131120445
801059,0.000131098817
159120,0.000129934114
833717,0.000129532381
1455233,0.000129445665
1656185,0.000127726834
827296,0.000127538785
269592,0.000127055513
1166026,0.000126258776
577940,0.00012456355
80108,0.000124196512
578309,0.000124056365
1099582,0.000122643203
183367,0.000122432896
488092,0.000121889456
1740717,0.000121793492
578055,0.000121727715
386621,0.000119129729
894689,0.000118642925
1097044,0.000118143163
265729,0.000118140915
881885,0.000118040847
1703503,0.000117702117
1208322,0.000117649356
1409697,0.000117568957
1702124,0.000117044211
968652,0.000116515277
69255,0.000115950273
1544041,0.000114752481
908027,0.000112859952
985644,0.000112569034
1208568,0.000111696191
967791,0.00011122482
1727513,0.000111023251
313088,0.000109462048
91800,0.00010945916
596977,0.000109377816
92490,0.000109021305
524208,0.000108850912
1643543,0.000108841131
1667951,0.000108328857
935827,0.000107887298
504284,0.000107155591
1099474,0.000106480871
715041,0.000106368483
885641,0.000106128203
1765514,0.000105848434
1009898,0.000105689773
928988,0.0001056141
1061589,0.00010497865
617649,0.000104590388
216343,0.000103905262
1433854,0.000103787258
1146624,0.00010314848
1702123,0.000103021248
